und_from_file_id,und_to_file_id,weight
1,25639,1
1,87726,5
10,97294,5
27,6404,30
27,7257,11
27,24371,3
27,26852,19
27,44163,4
27,64118,77
27,74664,37
27,96610,7
27,108166,3
27,120065,2
27,121451,8
27,134070,4
27,141494,15
27,146225,4
27,147961,7
27,152378,69
27,153857,5
27,159476,13
27,161570,9
27,161807,57
27,166063,1
367,136332,4
388,6404,3
388,38742,3
388,69269,3
388,74664,4
388,84188,5
388,93533,7
388,121451,5
388,124528,2
388,132797,9
388,133785,2
388,136102,16
388,136332,4
388,138618,16
388,141494,5
388,149213,12
388,161570,3
388,161807,7
388,166063,1
388,170067,2
560,562,194
560,567,220
560,582,593
560,600,4
562,560,10
562,567,13
562,582,29
562,600,19
562,7599,8
582,567,7
582,600,1
750,37076,1
760,4527,4
760,24237,2
760,38742,6
760,69269,15
760,93533,11
760,108732,4
760,120907,5
760,136102,2
760,136332,10
760,166063,1
760,170067,2
830,835,2
830,852,16
830,60425,3
833,852,16
835,852,245
835,41967,15
835,53915,15
835,53917,2
835,60413,15
835,60425,167
835,69723,15
835,71119,15
835,123965,15
890,38742,3
890,44163,3
890,57441,4
890,59094,3
890,63093,3
890,82600,11
890,93533,5
890,102830,1
890,121451,3
890,123619,10
890,129127,2
890,134257,8
890,141751,2
890,166063,1
1037,69269,2
1037,93533,3
1037,123227,6
1037,136332,4
1055,9062,10
1055,24237,2
1055,44163,22
1055,65892,26
1055,87849,8
1055,108732,2
1055,136102,2
1055,142469,3
1055,166063,1
1105,32803,4
1131,6404,4
1131,7089,7
1131,19943,18
1131,142796,2
1131,156529,3
1159,19838,4
1159,77766,5
1159,112554,9
1159,144697,2
1183,40236,8
1183,107549,11
1231,38742,3
1231,41314,4
1231,69269,2
1231,93533,7
1231,131992,2
1231,136332,6
1264,133025,4
1264,162955,3
1291,69269,11
1343,11234,10
1343,17982,1
1343,24413,3
1343,29206,2
1343,39496,5
1343,41739,2
1343,108732,2
1343,114377,1
1343,136102,2
1343,152997,2
1380,19016,7
1380,39398,5
1380,41739,2
1380,107134,4
1380,145439,20
1380,162955,9
1417,6404,26
1417,38742,3
1417,57859,7
1417,69269,2
1417,74664,12
1417,84188,5
1417,93533,3
1417,124528,5
1417,132797,30
1417,134664,5
1417,136332,3
1417,141494,5
1417,149213,17
1417,161570,5
1417,161807,13
1417,162955,7
1528,75450,1
1528,126355,3
1541,77285,6
1541,112546,9
1541,129813,4
1611,29520,5
1611,30948,4
1611,59891,4
1611,151267,2
1663,6404,2
