und_from_file_id,und_to_file_id,weight
1,8721,7
1,36927,5
1,58806,1
1,122539,1
1,129404,5
52,22262,7
52,38712,31
52,41423,9
52,64872,47
52,64983,9
52,76637,4
52,107463,9
52,122262,15
52,126295,20
158,5431,2
158,101466,4
158,111745,3
172,15879,49
172,16407,4
172,36927,5
172,38728,20
172,38899,5
172,39368,16
172,41894,5
172,54997,14
172,56825,67
172,57888,19
172,70539,29
172,74737,2
172,83024,60
172,96729,9
172,99112,3
172,103498,6
172,114138,11
172,115437,7
172,117652,3
172,118268,2
172,122539,1
172,130069,4
459,12070,2
459,26000,5
459,56042,7
459,76692,2
494,7409,4
494,14907,4
494,15330,3
494,27095,4
494,29068,2
494,36927,2
494,39906,2
494,43748,3
494,45250,3
494,53469,6
494,57464,4
494,58806,8
494,70292,2
494,70539,11
494,96729,5
494,122539,1
494,122744,36
494,125883,4
658,39739,4
671,7409,36
671,15330,25
671,27994,2
671,43748,9
671,58806,12
671,98576,4
671,115437,28
806,807,17
806,809,1
806,825,14
806,848,3
806,2088,10
806,2667,11
806,65031,4
806,80110,1
806,102041,5
806,106455,4
807,806,5
807,848,1
807,2088,4
809,52658,1
848,116688,1
857,860,6
857,16109,2
857,16649,16
857,20833,16
857,36002,16
857,48213,9
857,68850,16
857,93918,16
860,18945,2
860,48213,255
1017,45409,2
1017,51719,1
1017,76900,1
1026,20329,2
1026,60336,9
1026,70867,2
1026,121028,11
1250,39368,6
1250,52616,2
1250,100829,4
1332,7512,12
1332,46643,4
1332,54997,10
1332,70539,4
1332,90068,6
1332,96729,3
1332,107035,5
1332,118268,2
1332,120013,3
1332,122539,1
1332,130802,3
1413,26028,8
1413,28059,5
1413,63182,4
1413,91813,2
1413,93293,3
1413,95916,3
1413,103548,5
1413,133996,3
1463,7409,18
1463,15330,9
1463,43425,8
1463,43748,4
1463,58806,20
1463,70539,13
1463,96729,7
1463,130196,2
1527,7409,5
1527,15330,5
1527,15879,13
1527,29068,3
1527,31287,5
1527,36927,2
1527,38899,3
1527,39368,7
1527,41894,3
1527,43748,2
1527,47809,3
1527,54997,8
1527,58806,2
1527,70292,2
1527,70539,8
1527,83024,25
1527,95035,3
1527,96729,3
1527,99112,2
1527,103498,12
1527,115874,2
1527,117652,2
1527,117889,9
1527,118268,2
1527,118933,2
1527,122539,1
1527,129244,29
1685,85029,9
1708,22671,12
1809,76647,8
1809,122944,8
1843,13765,4
1843,36927,2
1843,68317,3
1843,75896,2
1843,96357,5
1843,122539,1
1843,127351,2
1885,43698,1
1885,45409,3
1885,51719,1
1894,1069,9
1894,1948,18
1894,12336,26
1894,67074,2
1894,100661,2
1897,1069,2
1897,1948,18
2003,7409,3
2003,15330,3
2003,39739,6
2003,54997,14
2003,58806,2
2003,70539,27
2003,85053,3
2003,95921,2
2003,96729,9
2003,122539,1
2003,130464,16
2085,825,6
2085,2087,9
2085,2088,6
2085,2089,3
2085,2090,2
2085,2667,5
2085,8025,1
2085,20110,4
2085,64874,6
2085,89185,4
2085,97520,3
2085,102041,4
2085,102954,2
2085,128790,1
2087,4089,1
2087,41260,1
2088,2667,7
2088,31710,8
2088,31711,2
2089,2088,1
2089,4089,1
2089,41260,1
2089,97520,5
2090,49442,2
2176,27994,3
2176,58806,7
2191,27994,3
2191,58806,5
2202,4684,17
2202,7409,12
2202,15330,3
2202,36077,3
2202,39739,5
2202,52918,12
2202,54997,17
2202,58806,8
2202,70539,2
2202,96729,3
2202,99112,2
2202,102298,5
2202,130802,3
2256,23390,2
2256,45548,5
2356,2276,2
2356,2359,8
2356,32351,1
2356,41813,2
2356,115983,4
2359,2274,13
2359,2276,19
2359,7625,8
2359,18073,29
2359,114605,10
2360,2274,10
2360,2276,28
2360,7625,4
2360,18073,24
2360,26281,2
2360,51455,15
2579,7409,4
2579,15330,7
2579,36927,4
2579,43748,5
2579,58806,2
2579,65100,5
2579,88718,8
2579,106272,5
2579,106283,8
2579,122539,1
2579,134066,8
2650,14977,2
2650,30672,3
2650,44819,2
2650,73665,2
2650,119707,1
2667,825,68
2667,2088,90
2667,31710,9
2806,10500,3
2806,16407,1
2806,31284,9
2806,36927,14
2806,41227,5
2806,108513,41
2806,122539,1
3047,119002,3
3057,27037,29
3057,30798,8
3057,50946,3
3057,52462,5
3057,62600,13
3057,73086,4
3057,74294,8
3057,108873,3
3057,115309,25
3138,14936,2
3138,20102,2
3138,52425,2
3138,56042,2
3138,74217,3
3152,41279,3
3152,52278,7
3152,102176,7
3240,58806,9
3283,3404,3
3283,56603,2
3283,83665,3
3283,92972,10
3316,11553,7
3316,20565,6
3316,36077,2
3316,39739,5
3316,41199,3
3316,45006,14
3316,53469,2
3316,54997,16
3316,61225,3
3316,61375,4
3316,65100,3
3316,70945,3
3316,88718,6
3316,91647,5
3316,99112,2
3316,102298,5
3316,105320,22
3316,110168,4
3316,130802,3
3407,25865,3
3407,86881,3
3421,29068,3
3421,31287,26
3421,70802,9
3421,118933,2
3421,128155,2
3421,132324,5
3471,3472,11
3471,52658,2
3471,88062,1
3472,4089,2
3472,52658,1
3495,7409,12
3495,15330,15
3495,30810,37
3495,36927,5
3495,43748,5
3495,58806,8
3495,62840,19
3495,91829,8
3495,110765,3
3495,122539,3
3577,22908,6
3577,54003,3
3577,77364,4
3577,96846,7
3577,108825,13
3577,120871,7
3666,90493,2
3693,36927,3
3693,39205,8
3693,45548,17
3693,58855,6
3693,103498,2
3693,122539,1
3719,115874,7
3735,36927,7
3735,51960,49
3735,59050,2
3735,99473,8
3735,103498,2
3735,120215,15
3735,122539,1
3735,123593,5
3806,90459,6
3815,26144,3
3821,22906,2
3821,38712,3
3821,41423,59
3821,76637,12
3821,107463,10
3821,120250,2
3884,7409,5
3884,15330,3
3884,36927,2
3884,58806,3
3884,122539,1
3930,12070,2
3930,22785,12
3930,45182,1
3930,56042,2
3930,63721,2
3930,68317,1
3930,89822,2
3930,95678,2
3930,105379,2
3930,118933,7
3930,127365,5
4000,7409,4
4000,15330,19
4000,36927,6
4000,58806,2
4000,77074,13
4000,94934,5
4000,110765,3
4000,122539,1
4000,126042,5
4069,12070,4
4069,66936,25
4069,103498,2
4092,7409,4
4092,15330,3
4092,27994,6
4092,58806,10
4092,90820,6
4116,27994,5
4116,58806,9
4168,1685,2
4168,15957,2
4168,22967,2
4168,23356,2
4168,39733,2
4168,60772,18
4168,76717,3
4168,77319,4
4255,51400,3
4264,73968,12
4276,7409,8
4276,9902,3
4276,10408,6
4276,15330,19
4276,31199,14
4276,36927,9
4276,39244,37
4276,85053,5
4276,102298,5
4276,122539,1
4401,15192,2
4401,56042,3
4401,68174,4
4401,75664,2
4401,94776,2
4401,105599,4
4401,119007,2
4401,119993,2
4424,26028,8
4424,63182,3
4424,64378,3
4424,73564,6
4424,91813,2
4424,103548,4
4424,132406,3
4424,133996,14
4456,77103,4
4485,12070,2
4485,22785,10
4485,26972,3
4485,45182,1
4485,56042,2
4485,63721,2
4485,68317,1
4485,89822,2
4485,105379,2
4485,115874,4
4485,118933,6
4485,127365,5
4512,12070,3
4512,14936,7
4512,20102,3
4512,52425,4
4512,56042,22
4512,70589,3
4512,122539,1
4551,4552,1
4552,6335,2
4552,20097,1
4578,7409,3
4578,15330,3
4578,43748,2
4578,58806,8
4578,125869,5
4613,14243,3
4613,27862,3
4613,39474,12
4613,47809,3
4613,64889,5
4613,68317,8
4613,73906,5
4613,100414,2
4613,115874,15
4613,118933,4
4684,7409,12
4684,15330,3
4684,36077,3
4684,39739,5
4684,52918,12
4684,54997,17
4684,58806,8
4684,70539,2
4684,96729,3
4684,99112,2
4684,102298,5
4684,130802,3
4716,19426,4
4716,65430,3
4746,45936,8
4746,134760,11
4792,1069,37
4797,1069,407
4797,12336,756
4802,1069,34
4802,12336,756
4802,26307,373
4809,9902,2
4809,10021,3
4809,15586,2
4809,36927,2
4809,66936,4
4809,74737,2
4809,102298,3
4809,110737,7
4809,122539,1
4850,10021,5
4850,56042,5
4850,66936,4
4850,87738,3
4865,4866,1
4866,19070,1
4885,5780,1
4899,28459,2
4899,29068,3
4899,36927,5
4899,43748,3
4899,61375,2
4899,64037,6
4899,91829,12
4899,92544,2
4899,118933,3
4899,122539,1
4899,126462,1
4899,132167,4
4952,56042,2
4952,57837,2
4952,111028,2
4952,117712,2
4952,129165,3
4965,15330,5
4965,22508,12
4965,43748,2
5026,45409,3
5026,51719,1
5026,76900,1
5034,21224,4
5034,50238,3
5034,123095,5
5357,15879,5
5357,39368,7
5357,54997,5
5357,70539,4
5357,83024,18
5357,89639,7
5357,96729,3
5357,110829,9
5436,58806,7
5449,8025,3
5449,102041,11
5449,128790,3
5524,15521,3
5524,52066,3
5524,63182,2
5524,64378,3
5524,66880,3
5524,82151,3
5524,103548,9
5524,106957,3
5524,115268,3
5524,119033,3
5524,126350,3
5560,7409,8
5560,15330,5
5560,27994,4
5560,36927,3
5560,58806,10
5560,63986,11
5560,107255,4
5560,111065,2
5560,122539,1
5595,5596,1
5623,848,56
5661,7409,12
5661,15330,9
5661,16458,6
5661,31287,3
5661,53469,2
5661,54997,7
5661,58806,13
5661,65731,11
5661,70539,7
5661,77456,13
5661,78364,23
5661,96729,5
5661,102298,3
5661,115874,3
5661,125883,5
5749,77586,10
5749,77832,2
5780,45409,2
5780,88644,2
5780,89003,2
5780,110697,2
5791,74294,4
5811,34670,7
5811,54997,5
5811,108819,18
5811,122379,3
5811,130802,2
5835,14414,17
5835,38712,24
5835,41423,7
5835,50277,2
5835,64872,36
5835,76637,3
5835,107463,7
5835,126295,22
5913,3735,1
5913,9820,1
5913,10899,1
5913,11141,1
5913,11384,1
5913,19831,1
5913,22696,1
5913,23336,1
5913,35618,1
5913,36157,1
5913,36462,1
5913,52154,1
5913,63527,1
5913,68029,1
5913,77701,1
5913,80097,1
5913,91112,1
5913,94373,1
5913,95038,1
5913,96902,1
5913,103498,2
5913,106361,1
5913,109651,1
5913,115191,1
5913,130118,1
5913,132695,1
5951,10021,3
5951,15879,5
5951,17685,5
5951,27684,4
5951,39368,7
5951,43748,5
5951,66352,2
5951,70539,4
5951,83024,17
5951,84291,2
5951,96729,3
6025,21751,4
6025,76025,2
6025,103548,2
6025,123230,5
6053,27037,2
6053,30798,2
6053,74294,2
6059,21224,2
6146,16407,3
6146,29068,5
6146,30672,30
6146,38899,9
6146,44819,31
6146,50807,4
6146,53892,14
6146,60916,8
6146,63721,2
6146,101614,9
6146,105379,13
6146,110069,5
6146,115874,12
6146,117652,5
6146,118933,13
6146,122539,1
6146,124604,3
6146,126462,12
6146,134395,4
6266,7409,4
6266,15330,5
6266,45165,4
6266,58806,2
6283,4551,10
6283,4552,3
6283,6286,1
6283,6335,1
6283,80231,3
6283,102565,3
6335,15888,4
6335,15891,1
6335,25108,2
6353,4867,4
6353,6355,152
6353,17833,3
6353,18946,1
6353,19070,1
6353,34440,1
6353,89417,6
6355,4867,4
6355,17834,1
6356,4865,1
6356,4867,2
6356,6353,1
6356,6355,4
6356,11071,1
6356,34765,1
6356,52092,1
6356,66730,2
6356,70363,2
6603,7409,30
6603,14907,2
6603,15330,37
6603,27095,5
6603,36927,5
6603,39906,15
6603,43748,8
6603,45250,22
6603,57464,7
6603,58806,18
6603,70539,6
6603,96729,3
6603,122539,1
6603,122744,5
6776,56042,2
6776,123251,2
6783,80318,2
6789,36927,10
6789,38899,13
6789,101481,9
6789,102914,14
6789,103498,6
6789,117652,7
6789,122539,1
6859,6053,2
6859,27037,5
6859,30798,4
6859,74294,4
6871,30765,6
6871,30810,9
6871,43092,4
6871,43748,2
6871,62840,5
6871,65731,6
6871,69970,14
6871,70539,18
6871,78364,15
6871,96729,7
6871,103595,5
6871,112286,3
6871,124217,2
6948,8158,3
6948,77728,5
6967,15330,5
6967,58309,7
6967,73922,4
6967,107103,4
6967,122539,1
6967,126462,3
7049,14414,10
7049,22262,3
7049,38712,31
7049,41423,9
7049,64872,47
7049,76637,3
7049,102298,3
7049,107463,9
7049,126295,20
7108,56208,3
7108,123113,16
7155,39739,5
7155,43059,4
7155,65865,5
7155,77451,2
7176,36927,3
7176,41130,4
7176,81991,4
7176,105529,7
7176,111492,10
7176,122539,1
7204,39551,6
7204,105409,2
7204,105529,2
7221,19426,4
7221,65430,4
7229,3642,4
7229,8009,1
7229,60336,3
7229,135822,1
7241,27994,4
7241,58806,10
7241,74737,4
7271,43748,3
7271,76647,6
7271,110765,4
7271,115874,10
7271,118933,5
7271,119002,2
7271,122944,2
7294,36927,2
7294,47809,3
7294,58042,31
7294,68195,2
7294,92833,5
7294,122539,1
7409,15330,5
7409,58806,9
7444,39368,2
7444,52616,2
7455,12186,7
7469,28310,3
7469,36927,3
7469,68195,2
7469,85053,3
7469,92833,4
7469,122539,1
7469,134870,2
7512,56603,4
7512,58806,20
7537,46929,9
7556,106388,8
7556,134760,11
7589,22908,8
7589,54003,3
7589,56585,19
7589,77364,4
7621,2276,12
7621,2360,3
7621,7623,1
7621,7624,2
7621,7625,1
7621,15595,1
7621,49967,1
7621,80958,1
7621,120025,2
7623,2276,4
7623,123578,2
7624,2276,7
7624,2359,14
7624,2360,5
7624,26281,1
7624,51455,2
7624,109508,10
7624,114605,4
7625,2274,14
7625,2276,17
7625,18073,36
7625,26281,1
7625,83292,4
7769,7409,7
7769,15330,5
7769,24105,26
7769,31287,31
7769,36927,2
7769,41894,3
7769,54997,7
7769,58806,10
7769,67428,3
7769,70539,2
7769,80507,8
7769,84291,7
7769,96729,3
7769,99112,2
7769,115874,9
7769,117889,3
7769,122539,1
7859,27594,4
7859,29258,5
7859,36859,5
7859,58856,5
7859,93602,5
7859,103307,4
7859,111377,5
7859,131270,5
7900,105409,2
7900,105529,2
7909,110867,72
7909,123766,720
7954,64454,16
7992,39368,2
7992,52616,2
8009,3642,5
8009,60336,5
8024,1069,2
8024,2088,4
8024,8027,4
8024,8028,12
8024,12336,23
8024,39838,3
8024,44163,12
8024,126464,6
