und_from_file_id,und_to_file_id,weight
1,5224,2
1,8919,2
1,42622,2
1,157565,2
16,23693,2
16,39344,5
16,41318,13
16,57289,14
16,58164,7
16,68183,13
16,79864,3
16,87053,4
16,94877,8
16,108771,3
16,143283,3
16,145560,4
16,146006,4
16,150520,9
16,151307,7
157,96675,69
157,103909,17
157,149088,1
304,22256,11
304,29588,8
355,5224,4
355,61731,2
404,66731,5
404,130808,2
404,160805,2
419,7285,7
419,11431,5
419,123687,3
419,156200,18
454,11431,4
454,19232,6
454,20410,11
454,36030,10
454,36697,2
454,59267,10
454,64009,13
454,65337,6
454,82883,5
454,101270,8
454,111357,146
454,117308,7
454,117652,2
454,127299,8
454,136172,10
454,137907,13
454,147542,6
454,153437,3
454,153577,16
647,31307,7
647,39344,4
647,72783,4
647,141304,7
647,143283,4
687,20410,11
687,33239,4
687,44475,3
687,47911,5
687,57183,9
687,58201,2
687,58224,4
687,63577,9
687,73651,3
687,96675,8
687,103909,3
687,114588,4
687,117652,2
687,149088,1
687,151592,2
773,53797,2
773,161745,10
804,13769,3
804,34672,3
804,58224,56
804,71263,3
804,73188,3
804,89710,2
804,127048,5
933,61398,11
933,87171,13
933,149088,1
933,149989,10
1000,41540,6
1000,55349,13
1000,61398,3
1000,103250,8
1000,126573,2
1000,149088,1
1030,1033,99
1224,115446,4
1285,40828,9
1285,44475,3
1285,84398,5
1285,114588,2
1285,133042,2
1285,159103,26
1336,17317,5
1336,23368,5
1336,44475,7
1336,44546,20
1336,45483,6
1336,73289,12
1336,84384,4
1336,96267,12
1336,96465,13
1336,96675,4
1336,102737,2
1336,103747,17
1336,103909,15
1336,136172,3
1461,51742,2
1461,102161,2
1505,56443,1
1505,84142,3
1518,9768,2
1518,53576,2
1518,58921,3
1518,102233,2
1518,109481,2
1518,140544,4
1547,19861,7
1547,39344,4
1547,43201,7
1547,56456,4
1547,57362,11
1547,73945,5
1547,143283,5
1547,151307,3
1593,58224,7
1593,61398,2
1593,95730,2
1593,98978,3
1593,149088,1
1677,48094,5
1677,96191,5
1677,151293,6
1701,28523,5
1701,36225,3
1701,39344,5
1701,73668,3
1701,109381,8
1701,140500,3
1701,143283,4
1701,145560,2
1736,2656,2
1736,103795,6
1753,20410,2
1753,21585,3
1753,23368,5
1753,35133,3
1753,44475,3
1753,45483,5
1753,47911,2
1753,61398,2
1753,73289,12
1753,77515,2
1753,84384,5
1753,96267,13
1753,96465,13
1753,96675,20
1753,103909,13
1753,110399,3
1753,114588,2
1753,117652,5
1753,131918,3
1753,149088,1
1753,155074,43
1753,156200,8
1753,159103,2
1894,6269,10
1894,55967,3
1894,57614,12
1894,65570,6
1894,68214,2
1894,113253,5
1894,115676,2
1894,120176,5
1894,133926,6
1894,141627,5
1894,142607,5
1894,146635,3
1894,149685,2
1894,151140,5
1894,155872,5
2124,2656,6
2149,16446,5
2149,61398,3
2149,71239,11
2149,71588,3
2149,110399,3
2149,115676,2
2149,129375,3
2149,130673,5
2149,132728,5
2149,136172,8
2149,138395,5
2149,142737,9
2149,147542,6
2149,149088,1
2149,156200,7
2149,162427,3
2228,25039,6
2228,125836,3
2250,5224,5
2250,8919,5
2250,88968,2
2250,157565,4
2267,2629,3
2267,29322,3
2267,61165,3
2267,136276,3
2267,140772,2
2267,149133,3
2292,11431,2
2292,19672,3
2292,23368,3
2292,45752,2
2292,58224,2
2292,61398,3
2292,63821,14
2292,73289,2
2292,102046,5
2292,103347,2
2292,106116,2
2292,112981,2
2292,120091,4
2292,143342,5
2292,149088,1
2292,154359,49
2387,2656,7
2387,13306,7
2387,17317,5
2387,20410,13
2387,23368,7
2387,43546,1
2387,44546,5
2387,45483,15
2387,73289,12
2387,84384,6
2387,90264,11
2387,96267,20
2387,96465,19
2387,96675,42
2387,103795,2
2387,103909,47
2387,112697,7
2387,116971,2
2387,117174,3
2387,126974,5
2387,134134,14
2387,136172,10
2387,138395,3
2387,151140,7
2387,156287,31
2616,53576,4
2629,58853,3
2629,61165,3
2656,75421,2
2656,80566,3
2679,19031,4
2679,61398,3
2679,66307,15
2679,102309,2
2679,139813,9
2679,149088,1
2679,154606,10
2715,2656,2
2715,45483,4
2715,47231,7
2715,58224,3
2715,61398,2
2715,96675,4
2715,103909,9
2715,105977,2
2715,106116,9
2715,149088,1
2758,136126,6
2767,2656,8
2767,45483,2
2767,96675,3
2767,103909,3
2767,116195,5
2802,74537,2
2832,96675,2
2837,47231,2
2837,52467,3
2837,108448,3
2837,114588,5
2863,88786,45
2863,160203,11
2978,56102,4
2989,132797,4
3026,17317,2
3035,58224,2
3035,68362,2
3035,147917,2
3045,19752,4
3045,58224,5
3045,65570,3
3045,142607,5
3062,8090,5
3084,9615,2
3084,11002,5
3084,32266,6
3084,45752,2
3084,61398,5
3084,63846,3
3084,75453,6
3084,89710,2
3084,103909,5
3084,112649,5
3084,126573,3
3084,130462,12
3084,136985,9
3084,141423,4
3084,148617,16
3084,149088,1
3084,150642,37
3084,155495,4
3258,2656,6
3258,103795,3
