und_from_file_id,und_to_file_id,weight
1,3,1
1,50535,2
2,16762,1
2,32478,4
2,77604,2
3,61798,2
45,65124,2
45,94319,6
72,109992,8
72,148063,3
187,12173,4
187,29953,1
187,47459,9
187,49990,3
187,63823,77
187,73153,7
187,76674,57
187,79073,4
187,80413,7
187,91438,37
187,93781,5
187,119326,11
187,122140,1
187,125927,2
187,136722,13
187,143114,30
187,143208,15
187,152077,69
187,153438,4
187,161201,19
187,166177,8
519,521,182
521,519,9
720,65124,8
720,102905,2
737,65124,5
757,83041,3
766,4976,2
766,46456,2
766,80562,5
781,65124,9
781,94319,5
833,836,4
833,35441,4
836,62491,2
836,80695,7
836,94686,8
837,35489,1
859,862,155
859,890,14
859,18744,11
859,28427,3
859,32478,11
862,28428,1
862,32478,1
863,14931,2
863,18744,23
1170,3906,15
1170,79543,8
1170,102905,4
1170,159790,9
1170,166177,2
1221,72300,4
1221,101689,4
1248,77202,3
1258,1260,81
1258,32652,7
1258,44389,4
1258,50847,15
1258,144452,2
1260,32652,1
1260,44389,1
1309,10059,2
1309,32652,255
1404,65124,6
1404,94319,3
1445,18670,6
1445,48092,6
1445,74971,8
1445,92512,3
1445,107581,6
1445,131487,3
1482,70005,2
1482,95357,2
1482,109992,5
1482,142470,2
1495,70005,4
1495,95357,5
1495,109992,3
1495,142470,2
1495,148063,8
1538,29953,1
1538,97789,5
1538,108559,41
1538,122140,1
1538,145678,9
1538,153438,14
1538,159490,3
1785,93145,2
1785,109992,4
1826,54154,6
1826,56104,3
1826,115010,10
1826,153278,20
1890,119138,2
1942,15480,6
1942,31259,3
1942,65124,8
1942,94319,2
2000,12858,4
2000,28653,5
2000,47459,7
2000,58878,6
2000,73096,6
2000,91438,13
2000,102901,2
2000,102905,2
2000,111425,10
2000,115413,9
2000,142234,3
2000,146319,15
2000,149106,5
2089,4757,2
2089,143429,5
2104,127202,1
2108,114831,8
2108,127587,2
2128,72741,5
2128,145115,2
2128,159790,6
2179,145115,8
2203,2213,43
2203,2215,139
2203,2216,983
2203,2217,37
2203,2218,70
2203,2219,4
2203,2220,35
2203,2221,7
2203,2222,2
2203,2223,1274
2203,2227,1
2203,2233,1
2203,8623,8
2203,9343,2
2203,28052,19
2203,30763,2
2203,42252,3
2203,47403,2
2203,59604,29
2203,70904,344
2203,74790,20
2203,122051,1
2203,122953,62
2203,124562,115
2215,2213,10
2215,2233,4
2216,2203,4
2216,2213,2
2216,2217,1
2216,2219,2
2216,70904,8
2217,2213,15
2217,2216,7
2218,2213,4
2218,74790,2
2219,2203,1
2219,2213,8
2219,2216,4
2219,2218,3
2219,10997,1
2219,14732,1
2219,56798,8
2219,70904,17
2220,2213,36
2220,2215,1
2221,2213,1
2221,2227,3
2221,2233,3
2221,9343,7
2221,11052,2
2221,42252,4
2221,51481,9
2221,91389,3
2221,124562,2
2222,2213,3
2222,2221,3
2222,4496,4
2222,8623,1
2222,9343,14
2222,30763,1
2222,42252,1
2222,57110,1
2222,70904,18
2222,124562,1
2223,2213,7
2223,2218,1
2223,73789,15
2223,74790,2
2227,2213,1
2227,2233,7
3019,3021,1
3019,6866,1
3019,15367,16
3019,42348,4
3019,52584,6
3019,86513,3
3071,24711,3
3071,36544,2
