und_from_file_id,und_to_file_id,weight
1,128162,5
19,14799,2
19,18641,1
19,89679,2
19,101506,2
19,154001,2
19,157111,3
74,152244,6
95,114130,3
105,74039,4
105,77187,3
105,86093,10
105,92930,12
105,110943,4
105,131499,1
105,154071,2
152,14799,5
152,77829,2
152,101506,7
152,154001,7
191,193,68
191,242,5
191,257,4
191,11771,2
191,62625,1
191,64438,2
191,97008,1
193,257,1
193,11771,2
277,2035,6
277,14972,23
277,45697,10
277,46893,43
277,49533,2
277,54278,8
277,57750,4
277,60638,6
277,60820,5
277,77187,18
277,81638,6
277,86093,21
277,87773,4
277,90780,9
277,92930,13
277,93024,3
277,93239,2
277,93605,3
277,96154,4
277,101552,5
277,105924,3
277,114130,13
277,120931,2
277,122264,3
277,127480,3
277,131499,1
277,133512,3
277,138540,5
277,145191,3
277,154071,2
277,156818,3
504,88386,7
504,104637,3
531,14885,7
531,25261,2
531,37717,3
531,48452,10
531,79986,7
531,80335,3
531,80800,3
531,105880,4
531,129188,2
531,139286,3
531,149392,8
531,156733,2
644,648,9
644,12678,2
644,12679,16
644,44027,16
644,68267,16
644,80986,16
644,93914,16
644,141071,6
648,242,2
648,73290,3
648,141071,3
806,24142,9
806,70043,3
806,72876,2
806,95215,6
806,96917,3
806,105906,5
806,144124,9
867,20242,2
879,893,16
879,26189,1
882,893,245
882,3191,756
882,26189,162
896,4681,12
896,15079,2
896,72193,2
896,87396,3
896,123656,10
896,134280,59
1003,80800,3
1003,105880,4
1003,112031,6
1003,139286,2
1021,53416,2
1021,58340,1
1021,85850,1
1030,86093,6
1030,89770,4
1030,92930,5
1030,121545,2
1077,8822,4
1077,70303,10
1077,70307,4
1077,88284,6
1077,102400,3
1077,113809,9
1077,115869,5
1077,123362,2
1077,126649,4
1077,129301,4
1077,136004,3
1077,155091,5
1168,1170,6
1168,1172,3
1168,1173,3
1168,1175,1
1168,69004,4
1168,96463,3
1168,138584,1
1171,1170,1
1171,1176,7
1172,1170,3
1172,10967,14
1172,10968,3
1172,10970,1
1172,40517,4
1172,54536,1
1172,64194,1
1172,69004,18
1172,125225,1
1172,157962,1
1173,1170,7
1173,10970,5
1173,17479,10
1173,54536,2
1173,69004,14
1173,75501,1
1173,125225,4
1174,1170,36
1174,10971,1
1175,1168,1
1175,1170,8
1175,10972,4
1175,10973,3
1175,14706,1
1175,26535,1
1175,69004,17
1175,138584,8
1221,5214,4
1221,25311,3
1221,30936,2
1221,43281,3
1221,115869,4
1221,123362,16
1221,136004,2
1221,147416,2
1221,155091,3
1274,7663,3
1274,25100,3
1274,60396,6
1274,77187,2
1274,80800,3
1274,89375,4
1274,105880,5
1274,119046,7
1274,131499,1
1274,139286,2
1324,24896,2
1324,38094,14
1324,75719,8
1324,78494,6
1324,83162,2
1324,145903,7
1324,154071,2
1370,51077,2
1377,14799,3
1377,77829,2
1377,101506,3
1377,154001,3
1383,6523,4
1383,15709,3
1383,48613,2
1383,50402,5
1383,77187,9
1383,80800,17
1383,100862,2
1383,105638,4
1383,105880,22
1383,131499,1
1383,151689,8
1519,16386,21
1519,44183,3
1519,77187,2
1519,87267,2
1519,117403,2
1519,131499,1
1519,133928,5
1519,140248,3
1519,144371,4
1519,157553,6
1606,1608,2
1731,5211,3
1731,119350,3
1773,15079,3
1782,50655,1
1782,53416,3
1782,58340,1
1791,53741,6
1791,55457,12
1791,56459,9
1791,58110,2
1791,67883,2
1791,70043,3
1791,72876,4
1791,96917,7
1791,123477,5
1791,147057,17
1850,7663,3
1850,25100,3
1850,77187,2
1850,119046,7
1850,131499,1
1867,6523,4
1867,15709,3
1867,31655,17
1867,44183,4
1867,48613,8
1867,65477,17
1867,80800,27
1867,105880,9
1867,127826,5
1867,150874,5
1967,80800,11
1967,105880,13
1967,139286,5
2004,88252,3
2004,120382,7
2004,122012,2
2035,13295,25
2035,20731,5
2035,21039,4
2035,26102,8
2035,31881,2
2035,72955,6
2035,105444,4
2035,107097,6
2035,114130,15
2035,145191,18
2134,51077,4
2134,147416,4
2134,147871,4
2156,5211,4
2156,119350,5
2165,6265,2
2165,25896,2
2165,44237,3
2165,49624,7
2165,77187,2
2165,96144,4
2165,130818,2
2165,131499,1
2165,140248,2
2212,20292,6
2212,22549,12
2212,25100,3
2212,28614,5
2212,35138,3
2212,43812,10
2212,55592,3
2212,56081,3
2212,56280,3
2212,67307,2
2212,67551,3
2212,77187,5
2212,78166,4
2212,78498,16
2212,82106,3
2212,93305,3
2212,94893,2
2212,105924,5
2212,111383,5
2212,115441,30
2212,120045,3
2212,131499,1
2212,142334,21
2212,147470,3
2212,157674,5
2413,2415,65
2413,2416,15
2413,2540,13
2413,5513,15
2413,65190,1
2413,131746,2
2416,16659,2
2416,36040,2
2416,50549,1
2416,64350,4
2416,64351,2
2416,64352,1
2416,64353,1
2416,64354,1
2416,65190,1
2571,152689,2
2739,40593,3
2739,45521,1
2763,44079,5
2763,44256,2
2763,68939,5
2763,69095,5
2763,71220,5
2763,72927,5
2763,80294,3
2763,82560,5
2763,143349,5
2831,77187,5
2831,131499,1
2831,154071,6
2873,19841,2
2873,22693,7
2873,25100,9
2873,25896,3
2873,48613,5
2873,63892,4
2873,69343,4
2873,77187,3
2873,80800,5
2873,82711,5
2873,98097,9
2873,105880,6
2873,111335,6
2873,114130,15
2873,119046,21
2873,131499,1
2873,136624,35
2873,138540,5
2873,139286,5
3009,139286,38
3009,153279,4
3175,102048,2
3191,882,15
3191,3193,245
3191,5955,15
3191,22774,15
3191,22776,2
3191,26189,167
3191,49319,15
3191,99074,15
3191,108085,15
4467,80800,9
4467,122457,9
4467,131499,1
4467,135360,2
4512,44183,3
4512,48613,6
4512,67027,2
4512,77187,8
4512,80800,13
4512,86663,5
4512,105880,12
4512,108506,9
4512,114130,3
4512,115441,3
4512,131499,1
4512,139286,5
4512,157406,3
4609,9191,7
4609,25491,4
4609,35913,1
4609,38094,10
4609,42559,6
4609,61311,2
4609,78494,2
4609,78596,2
4609,79154,3
4609,83162,2
4609,145290,4
4672,78725,6
4681,15079,2
4681,87396,3
4681,123656,3
4681,145290,1
4696,131405,2
4701,14799,2
4701,89679,2
4701,101506,2
4701,154001,2
4715,21807,1
4715,33573,6
4715,39402,3
4715,78107,1
4715,101579,2
4715,102027,4
4715,112620,7
4715,115441,3
4715,126352,3
4715,133928,3
4715,140248,2
4715,156091,5
4788,38094,1
4788,64030,5
4788,77187,2
4788,131499,1
4821,14799,3
4821,18641,1
4821,59488,4
4821,80199,2
4821,89679,5
4821,101506,2
4821,154001,2
4844,2035,26
4844,13295,11
4844,20731,2
4844,20926,7
4844,26102,10
4844,72955,5
4844,107097,4
4844,114130,3
4844,155449,7
4875,38094,75
4875,44183,7
4875,48613,4
4875,57539,2
4875,64314,2
4875,69664,1
4875,73557,6
4875,80800,33
4875,105880,8
4875,139286,2
4875,145191,4
4875,154071,2
5007,44183,4
5007,48613,3
5007,80800,3
5007,112063,5
5007,139286,12
5007,154071,2
5097,9528,5
5097,16386,25
5097,44183,3
5097,77187,5
5097,101472,3
5097,117403,2
5097,131499,1
5097,133928,5
5097,140248,3
5097,144371,4
5097,157553,6
5207,38094,2
5207,78494,2
5211,25640,1
5214,22631,3
5214,43281,3
5214,123362,4
5214,136004,1
5214,147416,6
5214,147871,3
5243,48613,6
5243,73557,17
