author,filename,folder_names
fabio.boldrin,applications/director/src/com/carel/supervisor/plugin/switchtech/SwitchPluginImpl.java,applications/director/src/com/carel/supervisor/plugin/switchtech
fabio.boldrin,applications/director/src/com/carel/supervisor/plugin/winery/WEngine.java,applications/director/src/com/carel/supervisor/plugin/winery
fabio.boldrin,applications/director/src/com/carel/supervisor/plugin/winery/WFactory.java,applications/director/src/com/carel/supervisor/plugin/winery
fabio.boldrin,applications/director/src/com/carel/supervisor/plugin/winery/WMemoryStore.java,applications/director/src/com/carel/supervisor/plugin/winery
fabio.boldrin,applications/director/src/com/carel/supervisor/plugin/winery/WPlugin.java,applications/director/src/com/carel/supervisor/plugin/winery
fabio.boldrin,applications/director/src/com/carel/supervisor/plugin/winery/dataconn/DataConnWinery.java,applications/director/src/com/carel/supervisor/plugin/winery/dataconn
fabio.boldrin,applications/director/src/com/carel/supervisor/plugin/winery/dataconn/QueueLine.java,applications/director/src/com/carel/supervisor/plugin/winery/dataconn
fabio.boldrin,applications/director/src/com/carel/supervisor/plugin/winery/dataconn/WRestore.java,applications/director/src/com/carel/supervisor/plugin/winery/dataconn
fabio.boldrin,applications/director/src/com/carel/supervisor/plugin/winery/dataconn/WineryNotInitException.java,applications/director/src/com/carel/supervisor/plugin/winery/dataconn
fabio.boldrin,applications/director/src/com/carel/supervisor/plugin/winery/dataconn/WineryQueue.java,applications/director/src/com/carel/supervisor/plugin/winery/dataconn
alessandro.basso,applications/WebSupervisor/src/supervisor/LayedPrev.java,applications/WebSupervisor/src/supervisor
fabio.boldrin,applications/presentation/src/com/carel/supervisor/presentation/bo/BEnergy.java,applications/presentation/src/com/carel/supervisor/presentation/bo
fabio.boldrin,PlantVisorPRO/src/com/carel/TGLOBAL.java,PlantVisorPRO/src/com/carel
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/action/AbstractAction.java,PlantVisorPRO/src/com/carel/supervisor/action
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/action/ActionAnomaly.java,PlantVisorPRO/src/com/carel/supervisor/action
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/action/ActionDebug.java,PlantVisorPRO/src/com/carel/supervisor/action
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/action/ActionFactory.java,PlantVisorPRO/src/com/carel/supervisor/action
fabio.boldrin,PlantVisorPRO/src/com/carel/supervisor/action/ActionLog.java,PlantVisorPRO/src/com/carel/supervisor/action
