"","sender_id","receiver_name"
"311",NA,88718
"312",NA,91647
"313",NA,99112
"314",NA,102298
"315",NA,105320
"316",NA,110168
"317",NA,130802
"318",NA,25865
"319",NA,86881
"320",NA,29068
"321",NA,31287
"322",NA,70802
"323",NA,118933
"324",NA,128155
"325",NA,132324
"326",NA,3472
"327",NA,52658
"328",NA,88062
"329",NA,4089
"330",NA,52658
"331","mirko.travaglin",7409
"332","mirko.travaglin",15330
"333","mirko.travaglin",30810
"334","mirko.travaglin",36927
"335","mirko.travaglin",43748
"336","mirko.travaglin",58806
"337","mirko.travaglin",62840
"338","mirko.travaglin",91829
"339","mirko.travaglin",110765
"340","mirko.travaglin",122539
"341","alberto.baldan",22908
"342","alberto.baldan",54003
"343","alberto.baldan",77364
"344","alberto.baldan",96846
"345","alberto.baldan",108825
"346","alberto.baldan",120871
"347",NA,90493
"348",NA,36927
"349",NA,39205
"350",NA,45548
"351",NA,58855
"352",NA,103498
"353",NA,122539
"354",NA,115874
"355",NA,36927
"356",NA,51960
"357",NA,59050
"358",NA,99473
"359",NA,103498
"360",NA,120215
"361",NA,122539
"362",NA,123593
"363",NA,90459
"364",NA,26144
"365",NA,22906
"366",NA,38712
"367",NA,41423
"368",NA,76637
"369",NA,107463
"370",NA,120250
"371",NA,7409
"372",NA,15330
"373",NA,36927
"374",NA,58806
"375",NA,122539
"376",NA,12070
"377",NA,22785
"378",NA,45182
"379",NA,56042
"380",NA,63721
"381",NA,68317
"382",NA,89822
"383",NA,95678
"384",NA,105379
"385",NA,118933
"386",NA,127365
"387",NA,7409
"388",NA,15330
"389",NA,36927
"390",NA,58806
"391",NA,77074
"392",NA,94934
"393",NA,110765
"394",NA,122539
"395",NA,126042
"396",NA,12070
"397",NA,66936
"398",NA,103498
"399",NA,7409
"400",NA,15330
"401",NA,27994
"402",NA,58806
"403",NA,90820
"404",NA,27994
"405",NA,58806
"406",NA,1685
"407",NA,15957
"408",NA,22967
"409",NA,23356
"410",NA,39733
"411",NA,60772
"412",NA,76717
"413",NA,77319
"414",NA,51400
"415",NA,73968
"416",NA,7409
"417",NA,9902
"418",NA,10408
"419",NA,15330
"420",NA,31199
"421",NA,36927
"422",NA,39244
"423",NA,85053
"424",NA,102298
"425",NA,122539
"426",NA,15192
"427",NA,56042
"428",NA,68174
"429",NA,75664
"430",NA,94776
"431",NA,105599
"432",NA,119007
"433",NA,119993
"434",NA,26028
"435",NA,63182
"436",NA,64378
"437",NA,73564
"438",NA,91813
"439",NA,103548
"440",NA,132406
"441",NA,133996
"442",NA,77103
"443",NA,12070
"444",NA,22785
"445",NA,26972
"446",NA,45182
"447",NA,56042
"448",NA,63721
"449",NA,68317
"450",NA,89822
"451",NA,105379
"452",NA,115874
"453",NA,118933
"454",NA,127365
"455",NA,12070
"456",NA,14936
"457",NA,20102
"458",NA,52425
"459",NA,56042
"460",NA,70589
"461",NA,122539
"462","fabio.boldrin",4552
"463","fabio.boldrin",6335
"464","fabio.boldrin",20097
"465",NA,7409
"466",NA,15330
"467",NA,43748
"468",NA,58806
"469",NA,125869
"470",NA,14243
"471",NA,27862
"472",NA,39474
"473",NA,47809
"474",NA,64889
"475",NA,68317
"476",NA,73906
"477",NA,100414
"478",NA,115874
"479",NA,118933
"480",NA,7409
"481",NA,15330
"482",NA,36077
"483",NA,39739
"484",NA,52918
"485",NA,54997
"486",NA,58806
"487",NA,70539
"488",NA,96729
"489",NA,99112
"490",NA,102298
"491",NA,130802
"492",NA,19426
"493",NA,65430
"494",NA,45936
"495",NA,134760
"496",NA,1069
"497",NA,1069
"498",NA,12336
"499",NA,1069
"500",NA,12336
"501",NA,26307
"502",NA,9902
"503",NA,10021
"504",NA,15586
"505",NA,36927
"506",NA,66936
"507",NA,74737
"508",NA,102298
"509",NA,110737
"510",NA,122539
"511",NA,10021
"512",NA,56042
"513",NA,66936
"514",NA,87738
"515","fabio.boldrin",4866
"516","fabio.boldrin",19070
"517",NA,5780
"518","mirko.travaglin",28459
"519","mirko.travaglin",29068
"520","mirko.travaglin",36927
"521","mirko.travaglin",43748
"522","mirko.travaglin",61375
"523","mirko.travaglin",64037
"524","mirko.travaglin",91829
"525","mirko.travaglin",92544
"526","mirko.travaglin",118933
"527","mirko.travaglin",122539
"528","mirko.travaglin",126462
"529","mirko.travaglin",132167
"530",NA,56042
"531",NA,57837
"532",NA,111028
"533",NA,117712
"534",NA,129165
"535",NA,15330
"536",NA,22508
"537",NA,43748
"538",NA,45409
"539",NA,51719
"540",NA,76900
"541",NA,21224
"542",NA,50238
"543",NA,123095
"544",NA,15879
"545",NA,39368
"546",NA,54997
"547",NA,70539
"548",NA,83024
"549",NA,89639
"550",NA,96729
"551",NA,110829
"552",NA,58806
"553",NA,8025
"554",NA,102041
"555",NA,128790
"556",NA,15521
"557",NA,52066
"558",NA,63182
"559",NA,64378
"560",NA,66880
"561",NA,82151
"562",NA,103548
"563",NA,106957
"564",NA,115268
"565",NA,119033
"566",NA,126350
"567",NA,7409
"568",NA,15330
"569",NA,27994
"570",NA,36927
"571",NA,58806
"572",NA,63986
"573",NA,107255
"574",NA,111065
"575",NA,122539
"576","fabio.boldrin",5596
"577",NA,848
"578",NA,7409
"579",NA,15330
"580",NA,16458
"581",NA,31287
"582",NA,53469
"583",NA,54997
"584",NA,58806
"585",NA,65731
"586",NA,70539
"587",NA,77456
"588",NA,78364
"589",NA,96729
"590",NA,102298
"591",NA,115874
"592",NA,125883
"593",NA,77586
"594",NA,77832
"595","chiara.moretti",45409
"596","chiara.moretti",88644
"597","chiara.moretti",89003
"598","chiara.moretti",110697
"599","fabio.boldrin",74294
"600",NA,34670
"601",NA,54997
"602",NA,108819
"603",NA,122379
"604",NA,130802
"605",NA,14414
"606",NA,38712
"607",NA,41423
"608",NA,50277
"609",NA,64872
"610",NA,76637
"611",NA,107463
"612",NA,126295
"613",NA,3735
"614",NA,9820
"615",NA,10899
"616",NA,11141
"617",NA,11384
"618",NA,19831
"619",NA,22696
"620",NA,23336
"621",NA,35618
"622",NA,36157
"623",NA,36462
"624",NA,52154
"625",NA,63527
"626",NA,68029
"627",NA,77701
"628",NA,80097
"629",NA,91112
"630",NA,94373
"631",NA,95038
"632",NA,96902
"633",NA,103498
"634",NA,106361
"635",NA,109651
"636",NA,115191
"637",NA,130118
"638",NA,132695
"639","razvan.filimon",10021
"640","razvan.filimon",15879
"641","razvan.filimon",17685
"642","razvan.filimon",27684
"643","razvan.filimon",39368
"644","razvan.filimon",43748
"645","razvan.filimon",66352
"646","razvan.filimon",70539
"647","razvan.filimon",83024
"648","razvan.filimon",84291
"649","razvan.filimon",96729
"650",NA,21751
"651",NA,76025
"652",NA,103548
"653",NA,123230
"654",NA,27037
"655",NA,30798
"656",NA,74294
"657",NA,21224
"658",NA,16407
"659",NA,29068
"660",NA,30672
"661",NA,38899
"662",NA,44819
"663",NA,50807
"664",NA,53892
"665",NA,60916
"666",NA,63721
"667",NA,101614
"668",NA,105379
"669",NA,110069
"670",NA,115874
"671",NA,117652
"672",NA,118933
"673",NA,122539
"674",NA,124604
"675",NA,126462
"676",NA,134395
"677",NA,7409
"678",NA,15330
"679",NA,45165
"680",NA,58806
"681","fabio.boldrin",4551
"682","fabio.boldrin",4552
"683","fabio.boldrin",6286
"684","fabio.boldrin",6335
"685","fabio.boldrin",80231
"686","fabio.boldrin",102565
"687","fabio.boldrin",15888
"688","fabio.boldrin",15891
"689","fabio.boldrin",25108
"690","fabio.boldrin",4867
"691","fabio.boldrin",6355
"692","fabio.boldrin",17833
"693","fabio.boldrin",18946
"694","fabio.boldrin",19070
"695","fabio.boldrin",34440
"696","fabio.boldrin",89417
"697","fabio.boldrin",4867
"698","fabio.boldrin",17834
"699","fabio.boldrin",4865
"700","fabio.boldrin",4867
"701","fabio.boldrin",6353
"702","fabio.boldrin",6355
"703","fabio.boldrin",11071
"704","fabio.boldrin",34765
"705","fabio.boldrin",52092
