author,Filename,action,Date,Time,ver,ID_File_und,Language,Extension,LOC,SLOC,CommmentRatio,MaxCyclomatic,CyclomaticType,FI,FO,VFI,VFO,FT,VFT,CyclicGroupSize,ArchType,crs_mdl_out,crs_mdl_in,partition,NetworkID,NetworkGroupSize,CyclicGroupID,modularity_out,modularity_in,modularity,crs_mdl_T_out,crs_mdl_T_in,modularity_T_out,modularity_T_in,modularity_T,hierarchy2,hierarchy1,ID_rev,filename
razvan.filimon,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/plugin/energy/EGUtils.java,M,2011-10-10,08:12:15,8,115690,Java File,java,90,79,.03,9,Low,3,1,3,1,2,2,0,Peripheral,0,0,9,1,2730,0,1,1,1,0,0,1,1,1,1,1,111866,PlantVisorPRO/src/com/carel/supervisor/plugin/energy/EGUtils.java
razvan.filimon,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/plugin/energy/EnergyConsumer.java,M,2011-10-10,08:12:15,8,16191,Java File,java,231,152,.32,4,Low,1,9,1,203,8,202,0,Control,1,0,9,1,2730,0,.8888889,1,.89999998,151,0,.25615764,1,.25980392,1,1,111869,PlantVisorPRO/src/com/carel/supervisor/plugin/energy/EnergyConsumer.java
razvan.filimon,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/plugin/energy/EnergyEngine.java,M,2011-10-10,08:12:15,8,77362,Java File,java,471,397,.08,25,High,1,9,1,203,8,202,0,Control,2,0,9,1,2730,0,.77777779,1,.80000001,151,0,.25615764,1,.25980392,1,1,111870,PlantVisorPRO/src/com/carel/supervisor/plugin/energy/EnergyEngine.java
razvan.filimon,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/plugin/energy/EnergyMgr.java,M,2011-10-10,08:12:15,8,127739,Java File,java,618,507,.09,13,Medium,1,16,1,206,15,205,0,Control,3,0,9,1,2730,0,.8125,1,.82352942,151,0,.2669903,1,.27053139,1,1,111872,PlantVisorPRO/src/com/carel/supervisor/plugin/energy/EnergyMgr.java
razvan.filimon,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/plugin/energy/EnergyReport.java,M,2011-10-10,08:12:15,8,37264,Java File,java,116,96,.15,3,Low,3,2,3,2,3,3,0,Peripheral,0,0,9,1,2730,0,1,1,1,0,0,1,1,1,1,1,111874,PlantVisorPRO/src/com/carel/supervisor/plugin/energy/EnergyReport.java
razvan.filimon,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/plugin/energy/EnergyReportRecord.java,M,2011-10-10,08:12:15,8,,Java File,java,53,43,0,1,Low,1,1,1,1,0,0,0,Unconnected,,,,190,1,0,,,,,,,,,1,1,111875,PlantVisorPRO/src/com/carel/supervisor/plugin/energy/EnergyReportRecord.java
razvan.filimon,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/presentation/bo/BEnergy.java,M,2011-10-10,08:12:59,8,78653,Java File,java,1156,1002,.09,75,Untestable,1,20,1,297,19,296,0,Control,10,0,9,1,2730,0,.5,1,.52380955,225,0,.24242425,1,.24496645,1,1,111876,PlantVisorPRO/src/com/carel/supervisor/presentation/bo/BEnergy.java
razvan.filimon,/trunk/src/developments/PlantVisorPRO/src/supervisor/SRVLCharts.java,M,2011-10-10,08:14:12,8,26372,Java File,java,88,77,.04,5,Low,1,5,1,426,4,425,0,Control,0,0,4,1,2730,0,1,1,1,345,0,.19014084,1,.19203748,1,1,111877,PlantVisorPRO/src/supervisor/SRVLCharts.java
razvan.filimon,/trunk/src/developments/PlantVisorPRO/src/supervisor/ServUpload.java,M,2011-10-10,08:14:12,8,120428,Java File,java,1077,878,.1,31,High,1,38,1,635,37,634,0,Control,15,0,4,1,2730,0,.60526317,1,.61538464,516,0,.18740158,1,.18867925,1,1,111878,PlantVisorPRO/src/supervisor/ServUpload.java
razvan.filimon,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/plugin/energy/EGUtils.java,M,2011-10-10,08:50:24,8,115690,Java File,java,90,79,.03,9,Low,3,1,3,1,2,2,0,Peripheral,0,0,9,1,2730,0,1,1,1,0,0,1,1,1,1,1,111893,PlantVisorPRO/src/com/carel/supervisor/plugin/energy/EGUtils.java
