author,Filename,action,Date,Time,ver,ID_File_und,Language,Extension,LOC,SLOC,CommmentRatio,MaxCyclomatic,CyclomaticType,FI,FO,VFI,VFO,FT,VFT,CyclicGroupSize,ArchType,crs_mdl_out,crs_mdl_in,partition,NetworkID,NetworkGroupSize,CyclicGroupID,modularity_out,modularity_in,modularity,crs_mdl_T_out,crs_mdl_T_in,modularity_T_out,modularity_T_in,modularity_T,hierarchy2,hierarchy1,ID_rev,filename
alessandro.basso,/branches/pvpro_bf_1.4/src/developments/PlantVisorPRO/src/com/carel/supervisor/director/ide/RuleImporter.java,M,2008-12-19,14:07:45,2,70536,Java File,java,542,436,.07,12,Medium,1,11,1,59,10,58,0,Peripheral,2,0,3,1,2403,0,.81818181,1,.83333331,39,0,.33898306,1,.34999999,1,1,15233,PlantVisorPRO/src/com/carel/supervisor/director/ide/RuleImporter.java
alessandro.basso,/branches/pvpro_bf_1.4/src/developments/PlantVisorPRO/src/com/carel/supervisor/presentation/bo/BDtlView.java,M,2008-12-23,15:06:15,2,94105,Java File,java,1283,940,.18,39,High,2,42,8,323,42,329,0,Control,34,0,3,1,2403,0,.19047619,1,.22727273,260,6,.19504644,.25,.19637462,1,1,15234,PlantVisorPRO/src/com/carel/supervisor/presentation/bo/BDtlView.java
riccardo.fantato,/branches/pvpro_bf_1.4/src/developments/PlantVisorPRO/src/com/carel/supervisor/presentation/rule/EmailListBox.java,M,2009-01-20,09:49:55,2,54217,Java File,java,94,74,.04,5,Low,1,11,1,99,10,98,0,Peripheral,4,0,9,1,2403,0,.63636363,1,.66666669,80,0,.19191919,1,.2,1,1,15261,PlantVisorPRO/src/com/carel/supervisor/presentation/rule/EmailListBox.java
riccardo.fantato,/branches/pvpro_bf_1.4/src/developments/PlantVisorPRO/src/com/carel/supervisor/presentation/rule/FaxListBox.java,M,2009-01-20,09:49:55,2,98482,Java File,java,118,92,.03,5,Low,1,13,1,170,12,169,0,Control,4,0,9,1,2403,0,.69230771,1,.71428573,111,0,.34705883,1,.3508772,1,1,15262,PlantVisorPRO/src/com/carel/supervisor/presentation/rule/FaxListBox.java
riccardo.fantato,/branches/pvpro_bf_1.4/src/developments/PlantVisorPRO/src/com/carel/supervisor/presentation/rule/RemoteListBox.java,M,2009-01-20,09:49:55,2,63335,Java File,java,116,92,.03,5,Low,2,12,2,169,12,169,0,Control,4,0,9,1,2403,0,.66666669,1,.71428573,111,0,.34319526,1,.3508772,1,1,15263,PlantVisorPRO/src/com/carel/supervisor/presentation/rule/RemoteListBox.java
riccardo.fantato,/branches/pvpro_bf_1.4/src/developments/PlantVisorPRO/src/com/carel/supervisor/presentation/rule/RuleConstants.java,A,2009-01-20,09:49:55,2,5542,Java File,java,26,9,1.56,0,Low,5,1,6,1,4,5,0,Peripheral,0,0,9,1,2403,0,1,1,1,0,0,1,1,1,1,1,15264,PlantVisorPRO/src/com/carel/supervisor/presentation/rule/RuleConstants.java
riccardo.fantato,/branches/pvpro_bf_1.4/src/developments/PlantVisorPRO/src/com/carel/supervisor/presentation/rule/SmsListBox.java,M,2009-01-20,09:49:55,2,19510,Java File,java,114,92,.03,5,Low,1,13,1,170,12,169,0,Control,4,0,9,1,2403,0,.69230771,1,.71428573,111,0,.34705883,1,.3508772,1,1,15265,PlantVisorPRO/src/com/carel/supervisor/presentation/rule/SmsListBox.java
riccardo.fantato,/branches/pvpro_bf_1.4/src/developments/PlantVisorPRO/src/com/carel/supervisor/action/ActionAnomaly.java,M,2009-01-20,09:50:39,2,57754,Java File,java,24,12,.5,1,Low,1,3,1,141,2,140,0,Peripheral,0,0,0,1,2403,0,1,1,1,123,0,.12765957,1,.13380282,1,1,15266,PlantVisorPRO/src/com/carel/supervisor/action/ActionAnomaly.java
riccardo.fantato,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/presentation/rule/EmailListBox.java,M,2009-01-20,09:54:18,2,54217,Java File,java,94,74,.04,5,Low,1,11,1,99,10,98,0,Peripheral,4,0,9,1,2403,0,.63636363,1,.66666669,80,0,.19191919,1,.2,1,1,15281,PlantVisorPRO/src/com/carel/supervisor/presentation/rule/EmailListBox.java
riccardo.fantato,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/presentation/rule/FaxListBox.java,M,2009-01-20,09:54:18,2,98482,Java File,java,118,92,.03,5,Low,1,13,1,170,12,169,0,Control,4,0,9,1,2403,0,.69230771,1,.71428573,111,0,.34705883,1,.3508772,1,1,15282,PlantVisorPRO/src/com/carel/supervisor/presentation/rule/FaxListBox.java
