author,Filename,action,Date,Time,ver,ID_File_und,Language,Extension,LOC,SLOC,CommmentRatio,MaxCyclomatic,CyclomaticType,FI,FO,VFI,VFO,FT,VFT,CyclicGroupSize,ArchType,crs_mdl_out,crs_mdl_in,partition,NetworkID,NetworkGroupSize,CyclicGroupID,modularity_out,modularity_in,modularity,crs_mdl_T_out,crs_mdl_T_in,modularity_T_out,modularity_T_in,modularity_T,hierarchy2,hierarchy1,ID_rev,filename
kevin.ge,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/dataaccess/datalog/impl/ReportBeanList.java,M,2011-05-25,02:46:47,7,13872,Java File,java,895,746,.09,10,Low,1,22,1,390,21,389,0,Control,13,0,11,1,2706,0,.40909091,1,.43478259,313,0,.1974359,1,.19948849,1,1,104616,PlantVisorPRO/src/com/carel/supervisor/dataaccess/datalog/impl/ReportBeanList.java
kevin.ge,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/dispatcher/action/PAction.java,M,2011-05-25,02:46:47,7,56514,Java File,java,346,286,.05,9,Low,1,20,1,322,19,321,0,Control,10,0,6,1,2706,0,.5,1,.52380955,233,0,.27639753,1,.27863777,1,1,104617,PlantVisorPRO/src/com/carel/supervisor/dispatcher/action/PAction.java
kevin.ge,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/dataaccess/datalog/impl/ReportBeanList.java,M,2011-05-25,05:18:24,7,13872,Java File,java,895,746,.09,10,Low,1,22,1,390,21,389,0,Control,13,0,11,1,2706,0,.40909091,1,.43478259,313,0,.1974359,1,.19948849,1,1,104621,PlantVisorPRO/src/com/carel/supervisor/dataaccess/datalog/impl/ReportBeanList.java
kevin.ge,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/dispatcher/action/PAction.java,M,2011-05-25,05:18:24,7,56514,Java File,java,346,286,.05,9,Low,1,20,1,322,19,321,0,Control,10,0,6,1,2706,0,.5,1,.52380955,233,0,.27639753,1,.27863777,1,1,104622,PlantVisorPRO/src/com/carel/supervisor/dispatcher/action/PAction.java
kevin.ge,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/report/HistoryReport.java,M,2011-05-25,05:18:24,7,34943,Java File,java,492,441,.07,18,Medium,3,17,3,138,18,139,0,Peripheral,9,1,26,1,2706,0,.47058824,.66666669,.5,127,1,.079710148,.66666669,.092198581,1,1,104623,PlantVisorPRO/src/com/carel/supervisor/report/HistoryReport.java
kevin.ge,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/report/Report.java,M,2011-05-25,05:18:24,7,131542,Java File,java,90,68,.03,1,Low,10,1,16,1,9,15,0,Peripheral,0,3,26,1,2706,0,1,.69999999,.72727275,0,9,1,.4375,.47058824,1,1,104624,PlantVisorPRO/src/com/carel/supervisor/report/Report.java
kevin.ge,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/report/InstantReport.java,M,2011-05-25,05:36:46,7,9918,Java File,java,310,275,.04,11,Medium,2,16,2,215,16,215,0,Control,11,1,26,1,2706,0,.3125,.5,.33333334,202,1,.060465116,.5,.064516127,1,1,104625,PlantVisorPRO/src/com/carel/supervisor/report/InstantReport.java
kevin.ge,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/dataaccess/datalog/impl/ReportBeanList.java,M,2011-05-25,06:17:08,7,13872,Java File,java,895,746,.09,10,Low,1,22,1,390,21,389,0,Control,13,0,11,1,2706,0,.40909091,1,.43478259,313,0,.1974359,1,.19948849,1,1,104626,PlantVisorPRO/src/com/carel/supervisor/dataaccess/datalog/impl/ReportBeanList.java
kevin.ge,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/report/HistoryReport.java,M,2011-05-25,06:17:08,7,34943,Java File,java,492,441,.07,18,Medium,3,17,3,138,18,139,0,Peripheral,9,1,26,1,2706,0,.47058824,.66666669,.5,127,1,.079710148,.66666669,.092198581,1,1,104627,PlantVisorPRO/src/com/carel/supervisor/report/HistoryReport.java
kevin.ge,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/report/InstantReport.java,M,2011-05-25,06:17:08,7,9918,Java File,java,310,275,.04,11,Medium,2,16,2,215,16,215,0,Control,11,1,26,1,2706,0,.3125,.5,.33333334,202,1,.060465116,.5,.064516127,1,1,104628,PlantVisorPRO/src/com/carel/supervisor/report/InstantReport.java
razvan.filimon,/trunk/src/developments/c_source/ModbusSlaveExtension/Include/Defines.h,M,2011-05-25,06:53:30,7,3943,C Header File,h,57,0,0,0,Low,14,1,49,1,13,48,0,Secondary network,0,0,8,2,412,0,1,1,1,0,11,1,.77551019,.77999997,1,1,104629,c_source/ModbusSlaveExtension/Include/Defines.h
razvan.filimon,/trunk/src/developments/c_source/ModbusSlaveExtension/MBSlaveEx/DeviceObj.cpp,M,2011-05-25,06:53:30,7,112777,C Code File,cpp,224,187,.07,12,Medium,2,4,2,16,4,16,0,Secondary network,0,0,8,2,412,0,1,1,1,2,0,.875,1,.8888889,1,1,104630,c_source/ModbusSlaveExtension/MBSlaveEx/DeviceObj.cpp
razvan.filimon,/trunk/src/developments/c_source/ModbusSlaveExtension/MBSlaveEx/DeviceObj.h,M,2011-05-25,06:53:30,7,96109,C Header File,h,79,59,0,1,Low,4,3,4,15,5,17,2,Secondary network,0,0,8,2,412,66,1,1,1,2,0,.86666667,1,.89473683,.91666669,.88235295,104631,c_source/ModbusSlaveExtension/MBSlaveEx/DeviceObj.h
razvan.filimon,/trunk/src/developments/c_source/ModbusSlaveExtension/MBSlaveEx/MBSlaveEx.cpp,M,2011-05-25,06:53:30,7,122282,C Code File,cpp,1215,910,.12,18,Medium,1,18,1,37,17,36,0,Secondary network,0,0,8,2,412,0,1,1,1,3,0,.91891891,1,.92105263,1,1,104632,c_source/ModbusSlaveExtension/MBSlaveEx/MBSlaveEx.cpp
razvan.filimon,/trunk/src/developments/c_source/ModbusSlaveExtension/MBSlaveEx/MBSlaveEx.h,M,2011-05-25,06:53:30,7,122283,C Header File,h,97,57,.26,0,Low,3,7,4,15,8,17,2,Secondary network,0,0,8,2,412,66,1,1,1,2,0,.86666667,1,.89473683,.91666669,.88235295,104633,c_source/ModbusSlaveExtension/MBSlaveEx/MBSlaveEx.h
razvan.filimon,/trunk/src/developments/c_source/ModbusSlaveExtension/MBSlaveEx/XMLite.cpp,M,2011-05-25,06:53:30,7,89336,C Code File,cpp,1877,1109,.55,26,High,1,5,1,14,4,13,0,Secondary network,0,0,8,2,412,0,1,1,1,0,0,1,1,1,1,1,104636,c_source/ModbusSlaveExtension/MBSlaveEx/XMLite.cpp
razvan.filimon,/trunk/src/developments/c_source/ModbusSlaveExtension/MBonTcpIP/Support.cpp,M,2011-05-25,06:53:30,7,149763,C Code File,cpp,123,88,.18,9,Low,3,1,4,1,2,3,0,Secondary network,0,0,8,2,412,0,1,1,1,0,0,1,1,1,1,1,104638,c_source/ModbusSlaveExtension/MBonTcpIP/Support.cpp
razvan.filimon,/trunk/src/developments/c_source/ModbusSlaveExtension/MbAppLayer/MbAppLayer.cpp,M,2011-05-25,06:53:30,7,26391,C Code File,cpp,402,324,.02,5,Low,4,5,5,5,7,8,0,Secondary network,0,0,8,2,412,0,1,1,1,0,0,1,1,1,1,1,104639,c_source/ModbusSlaveExtension/MbAppLayer/MbAppLayer.cpp
razvan.filimon,/trunk/src/developments/c_source/ModbusSlaveExtension/MbAppLayer/MbAppLayer.h,M,2011-05-25,06:53:30,7,21527,C Header File,h,166,101,.2,1,Low,11,2,12,2,11,12,0,Secondary network,0,0,8,2,412,0,1,1,1,0,0,1,1,1,1,1,104640,c_source/ModbusSlaveExtension/MbAppLayer/MbAppLayer.h
razvan.filimon,/trunk/src/developments/c_source/ModbusSlaveExtension/MbAppLayer/MbRegisters.cpp,M,2011-05-25,06:53:30,7,161111,C Code File,cpp,1161,873,.14,22,High,4,4,6,4,6,8,0,Secondary network,0,0,8,2,412,0,1,1,1,0,0,1,1,1,1,1,104642,c_source/ModbusSlaveExtension/MbAppLayer/MbRegisters.cpp
razvan.filimon,/trunk/src/developments/c_source/ModbusSlaveExtension/PVProComm/PVProComm.cpp,M,2011-05-25,06:53:30,7,36265,C Code File,cpp,242,186,.03,7,Low,2,12,2,22,12,22,0,Secondary network,3,0,8,2,412,0,.75,1,.78571427,3,0,.86363637,1,.875,1,1,104645,c_source/ModbusSlaveExtension/PVProComm/PVProComm.cpp
razvan.filimon,/trunk/src/developments/c_source/ModbusSlaveExtension/PVProComm/PVProComm.h,M,2011-05-25,06:53:30,7,21525,C Header File,h,86,43,.23,1,Low,5,2,8,3,5,9,0,Secondary network,1,0,8,2,412,0,.5,1,.85714287,2,0,.33333334,1,.81818181,1,1,104646,c_source/ModbusSlaveExtension/PVProComm/PVProComm.h
razvan.filimon,/trunk/src/developments/c_source/ModbusSlaveExtension/PVProComm/RqstObj.cpp,M,2011-05-25,06:53:30,7,14282,C Code File,cpp,541,377,.18,9,Low,2,6,3,18,6,19,0,Secondary network,0,0,8,2,412,0,1,1,1,2,0,.8888889,1,.90476191,1,1,104648,c_source/ModbusSlaveExtension/PVProComm/RqstObj.cpp
razvan.filimon,/trunk/src/developments/c_source/ModbusSlaveExtension/PVProComm/RqstObj.h,M,2011-05-25,06:53:30,7,21528,C Header File,h,166,110,.06,1,Low,4,2,4,4,4,6,0,Secondary network,0,0,8,2,412,0,1,1,1,2,0,.5,1,.75,1,1,104649,c_source/ModbusSlaveExtension/PVProComm/RqstObj.h
razvan.filimon,/trunk/src/developments/c_source/ModbusSlaveExtension/PVProComm/XMLite.cpp,M,2011-05-25,06:53:30,7,22967,C Code File,cpp,1877,1109,.55,26,High,7,5,30,13,10,41,7,Secondary network,0,0,8,2,412,68,1,1,1,0,11,1,.63333333,.74418604,.70833331,.70731705,104650,c_source/ModbusSlaveExtension/PVProComm/XMLite.cpp
nicola.compagno,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/ide/dc/xmlDAO/PVVarsTag.java,M,2011-05-25,15:40:11,7,9813,Java File,java,210,152,.26,12,Medium,4,6,22,503,8,523,16,Control,0,0,14,1,2706,10,1,1,1,465,2,.075546719,.90909094,.11047619,.33333334,.94263864,104656,PlantVisorPRO/src/com/carel/supervisor/ide/dc/xmlDAO/PVVarsTag.java
kevin.ge,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/dispatcher/action/PAction.java,M,2011-05-26,06:49:35,7,56514,Java File,java,346,286,.05,9,Low,1,20,1,322,19,321,0,Control,10,0,6,1,2706,0,.5,1,.52380955,233,0,.27639753,1,.27863777,1,1,104659,PlantVisorPRO/src/com/carel/supervisor/dispatcher/action/PAction.java
kevin.ge,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/report/HistoryReport.java,M,2011-05-26,06:49:35,7,34943,Java File,java,492,441,.07,18,Medium,3,17,3,138,18,139,0,Peripheral,9,1,26,1,2706,0,.47058824,.66666669,.5,127,1,.079710148,.66666669,.092198581,1,1,104660,PlantVisorPRO/src/com/carel/supervisor/report/HistoryReport.java
kevin.ge,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/report/InstantReport.java,M,2011-05-26,06:49:35,7,9918,Java File,java,310,275,.04,11,Medium,2,16,2,215,16,215,0,Control,11,1,26,1,2706,0,.3125,.5,.33333334,202,1,.060465116,.5,.064516127,1,1,104661,PlantVisorPRO/src/com/carel/supervisor/report/InstantReport.java
razvan.filimon,/trunk/src/developments/c_source/ModbusSlaveExtension/MBSlaveEx/MBSlaveEx.cpp,M,2011-05-26,07:29:32,7,122282,C Code File,cpp,1215,910,.12,18,Medium,1,18,1,37,17,36,0,Secondary network,0,0,8,2,412,0,1,1,1,3,0,.91891891,1,.92105263,1,1,104662,c_source/ModbusSlaveExtension/MBSlaveEx/MBSlaveEx.cpp
razvan.filimon,/trunk/src/developments/c_source/ModbusSlaveExtension/MBSlaveEx/MBSlaveEx.h,M,2011-05-26,07:29:32,7,122283,C Header File,h,97,57,.26,0,Low,3,7,4,15,8,17,2,Secondary network,0,0,8,2,412,66,1,1,1,2,0,.86666667,1,.89473683,.91666669,.88235295,104663,c_source/ModbusSlaveExtension/MBSlaveEx/MBSlaveEx.h
razvan.filimon,/trunk/src/developments/c_source/ModbusSlaveExtension/MBonTcpIP/MBonTcpIP.cpp,M,2011-05-26,07:29:32,7,77776,C Code File,cpp,303,232,.11,10,Low,2,6,2,14,6,14,0,Secondary network,0,0,8,2,412,0,1,1,1,0,0,1,1,1,1,1,104664,c_source/ModbusSlaveExtension/MBonTcpIP/MBonTcpIP.cpp
razvan.filimon,/trunk/src/developments/c_source/ModbusSlaveExtension/MBonTcpIP/MBonTcpIP.h,M,2011-05-26,07:29:32,7,20152,C Header File,h,121,71,.14,1,Low,5,3,7,4,6,9,0,Secondary network,0,0,8,2,412,0,1,1,1,0,0,1,1,1,1,1,104665,c_source/ModbusSlaveExtension/MBonTcpIP/MBonTcpIP.h
razvan.filimon,/trunk/src/developments/c_source/ModbusSlaveExtension/MBonTcpIP/MbSlot.cpp,M,2011-05-26,07:29:32,7,20150,C Code File,cpp,195,152,.1,13,Medium,2,10,3,13,10,14,0,Secondary network,0,0,8,2,412,0,1,1,1,0,0,1,1,1,1,1,104666,c_source/ModbusSlaveExtension/MBonTcpIP/MbSlot.cpp
razvan.filimon,/trunk/src/developments/c_source/ModbusSlaveExtension/MBonTcpIP/StdString.h,A,2011-05-26,07:29:32,7,3435,C Header File,h,4157,1327,.78,9,Low,17,6,43,6,21,47,5,Secondary network,0,0,8,2,412,67,1,1,1,0,11,1,.74418604,.77551019,.79166669,.82978725,104667,c_source/ModbusSlaveExtension/MBonTcpIP/StdString.h
razvan.filimon,/trunk/src/developments/c_source/ModbusSlaveExtension/MbAppLayer/MbAppLayer.h,M,2011-05-26,07:29:32,7,21527,C Header File,h,166,101,.2,1,Low,11,2,12,2,11,12,0,Secondary network,0,0,8,2,412,0,1,1,1,0,0,1,1,1,1,1,104668,c_source/ModbusSlaveExtension/MbAppLayer/MbAppLayer.h
razvan.filimon,/trunk/src/developments/c_source/ModbusSlaveExtension/MbAppLayer/MbRegisters.cpp,M,2011-05-26,07:29:32,7,161111,C Code File,cpp,1161,873,.14,22,High,4,4,6,4,6,8,0,Secondary network,0,0,8,2,412,0,1,1,1,0,0,1,1,1,1,1,104669,c_source/ModbusSlaveExtension/MbAppLayer/MbRegisters.cpp
razvan.filimon,/trunk/src/developments/c_source/ModbusSlaveExtension/MbSlave485/MbSlave485.cpp,M,2011-05-26,07:29:32,7,89993,C Code File,cpp,520,365,.23,12,Medium,2,10,2,12,10,12,0,Secondary network,0,0,8,2,412,0,1,1,1,0,0,1,1,1,1,1,104670,c_source/ModbusSlaveExtension/MbSlave485/MbSlave485.cpp
razvan.filimon,/trunk/src/developments/c_source/ModbusSlaveExtension/MbSlave485/MbSlave485.h,M,2011-05-26,07:29:32,7,89994,C Header File,h,83,47,.26,1,Low,4,2,6,3,4,7,0,Secondary network,0,0,8,2,412,0,1,1,1,0,0,1,1,1,1,1,104671,c_source/ModbusSlaveExtension/MbSlave485/MbSlave485.h
razvan.filimon,/trunk/src/developments/c_source/ModbusSlaveExtension/MbSlave485/StdString.h,A,2011-05-26,07:29:32,7,89995,C Header File,h,4157,1327,.78,9,Low,3,3,43,6,4,47,5,Secondary network,0,0,8,2,412,67,1,1,1,0,11,1,.74418604,.77551019,.79166669,.82978725,104672,c_source/ModbusSlaveExtension/MbSlave485/StdString.h
kevin.ge,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/report/HistoryReport.java,M,2011-05-26,08:51:20,7,34943,Java File,java,492,441,.07,18,Medium,3,17,3,138,18,139,0,Peripheral,9,1,26,1,2706,0,.47058824,.66666669,.5,127,1,.079710148,.66666669,.092198581,1,1,104681,PlantVisorPRO/src/com/carel/supervisor/report/HistoryReport.java
kevin.ge,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/report/InstantReport.java,M,2011-05-26,08:51:20,7,9918,Java File,java,310,275,.04,11,Medium,2,16,2,215,16,215,0,Control,11,1,26,1,2706,0,.3125,.5,.33333334,202,1,.060465116,.5,.064516127,1,1,104682,PlantVisorPRO/src/com/carel/supervisor/report/InstantReport.java
kevin.ge,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/report/HistoryReport.java,M,2011-05-26,09:05:47,7,34943,Java File,java,492,441,.07,18,Medium,3,17,3,138,18,139,0,Peripheral,9,1,26,1,2706,0,.47058824,.66666669,.5,127,1,.079710148,.66666669,.092198581,1,1,104683,PlantVisorPRO/src/com/carel/supervisor/report/HistoryReport.java
kevin.ge,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/report/InstantReport.java,M,2011-05-26,09:05:47,7,9918,Java File,java,310,275,.04,11,Medium,2,16,2,215,16,215,0,Control,11,1,26,1,2706,0,.3125,.5,.33333334,202,1,.060465116,.5,.064516127,1,1,104684,PlantVisorPRO/src/com/carel/supervisor/report/InstantReport.java
