author,Filename,action,Date,Time,ver,ID_File_und,Language,Extension,LOC,SLOC,CommmentRatio,MaxCyclomatic,CyclomaticType,FI,FO,VFI,VFO,FT,VFT,CyclicGroupSize,ArchType,crs_mdl_out,crs_mdl_in,partition,NetworkID,NetworkGroupSize,CyclicGroupID,modularity_out,modularity_in,modularity,crs_mdl_T_out,crs_mdl_T_in,modularity_T_out,modularity_T_in,modularity_T,hierarchy2,hierarchy1,ID_rev,filename
razvan.filimon,/trunk/src/developments/PlantVisorPRO/src/supervisor/SRVLCharts.java,M,2012-07-23,14:41:32,9,84342,Java File,java,260,216,.15,22,High,1,9,1,538,8,537,0,Control,5,0,25,1,2771,0,.44444445,1,.5,527,0,.020446097,1,.022263451,1,1,130871,PlantVisorPRO/src/supervisor/SRVLCharts.java
razvan.filimon,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/dataaccess/dataconfig/SiteInfo.java,M,2012-07-23,14:42:06,9,98178,Java File,java,432,366,.01,1,Low,1,11,1,519,10,518,0,Control,4,0,10,1,2771,0,.63636363,1,.66666669,426,0,.17919075,1,.18076923,1,1,130872,PlantVisorPRO/src/com/carel/supervisor/dataaccess/dataconfig/SiteInfo.java
razvan.filimon,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/plugin/optimum/NightFreeCooling.java,A,2012-07-23,14:42:56,9,32413,Java File,java,423,318,.21,19,Medium,2,1,8,1,1,7,0,Peripheral,0,0,1,1,2771,0,1,1,1,0,6,1,.25,.33333334,1,1,130874,PlantVisorPRO/src/com/carel/supervisor/plugin/optimum/NightFreeCooling.java
razvan.filimon,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/plugin/optimum/NightFreeCoolingBean.java,A,2012-07-23,14:42:56,9,19083,Java File,java,667,559,.09,40,High,3,17,7,521,18,526,0,Control,8,2,1,1,2771,0,.52941179,.33333334,.5,411,6,.21113244,.14285715,.21022727,1,1,130875,PlantVisorPRO/src/com/carel/supervisor/plugin/optimum/NightFreeCoolingBean.java
razvan.filimon,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/plugin/optimum/OptimumManager.java,A,2012-07-23,14:42:56,9,41342,Java File,java,186,134,.07,3,Low,6,10,6,540,14,544,2,Control,8,0,13,1,2771,7,.2,1,.5,471,0,.12777779,1,.13736264,.99047619,.99632353,130876,PlantVisorPRO/src/com/carel/supervisor/plugin/optimum/OptimumManager.java
razvan.filimon,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/plugin/optimum/OptimumModuleHook.java,A,2012-07-23,14:42:56,9,159837,Java File,java,33,29,0,3,Low,1,3,1,541,2,540,0,Control,1,0,13,1,2771,0,.66666669,1,.75,471,0,.12939002,1,.13099632,1,1,130877,PlantVisorPRO/src/com/carel/supervisor/plugin/optimum/OptimumModuleHook.java
razvan.filimon,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/plugin/optimum/OptimumThread.java,A,2012-07-23,14:42:56,9,26814,Java File,java,81,66,.03,7,Low,2,7,6,540,7,544,2,Control,4,0,13,1,2771,7,.42857143,1,.55555558,471,0,.12777779,1,.13736264,.99047619,.99632353,130878,PlantVisorPRO/src/com/carel/supervisor/plugin/optimum/OptimumThread.java
razvan.filimon,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/plugin/optimum/StartStop.java,A,2012-07-23,14:42:56,9,127239,Java File,java,400,278,.33,27,High,2,1,8,1,1,7,0,Peripheral,0,0,1,1,2771,0,1,1,1,0,6,1,.25,.33333334,1,1,130879,PlantVisorPRO/src/com/carel/supervisor/plugin/optimum/StartStop.java
razvan.filimon,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/plugin/optimum/StartStopBean.java,A,2012-07-23,14:42:56,9,28006,Java File,java,777,626,.09,39,High,3,19,7,533,20,538,0,Control,10,2,1,1,2771,0,.47368422,.33333334,.45454547,422,6,.20825516,.14285715,.2074074,1,1,130880,PlantVisorPRO/src/com/carel/supervisor/plugin/optimum/StartStopBean.java
razvan.filimon,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/plugin/optimum/SunriseSunset.java,A,2012-07-23,14:42:56,9,90081,Java File,java,409,193,.78,6,Low,3,1,8,1,2,7,0,Peripheral,0,1,1,1,2771,0,1,.66666669,.75,0,6,1,.25,.33333334,1,1,130881,PlantVisorPRO/src/com/carel/supervisor/plugin/optimum/SunriseSunset.java
