author,Filename,action,Date,Time,ver,ID_File_und,Language,Extension,LOC,SLOC,CommmentRatio,MaxCyclomatic,CyclomaticType,FI,FO,VFI,VFO,FT,VFT,CyclicGroupSize,ArchType,crs_mdl_out,crs_mdl_in,partition,NetworkID,NetworkGroupSize,CyclicGroupID,modularity_out,modularity_in,modularity,crs_mdl_T_out,crs_mdl_T_in,modularity_T_out,modularity_T_in,modularity_T,hierarchy2,hierarchy1,ID_rev,filename
andrea.rana,/trunk/src/developments/c_source/pvproshell/DateTimeSet/DateSet.cs,M,2009-04-29,12:33:18,4,130609,c# csharp File,cs,44,37,.08,1,Low,1,4,1,4,3,3,0,Secondary network,0,0,20,13,6,0,1,1,1,0,0,1,1,1,1,1,19741,c_source/pvproshell/DateTimeSet/DateSet.cs
andrea.rana,/trunk/src/developments/c_source/pvproshell/DateTimeSet/TimeSet.Designer.cs,M,2009-04-29,12:33:18,4,55639,c# csharp File,cs,196,147,.28,2,Low,3,2,5,2,3,5,2,Secondary network,0,0,20,13,6,83,1,1,1,0,0,1,1,1,.90909094,.60000002,19742,c_source/pvproshell/DateTimeSet/TimeSet.Designer.cs
andrea.rana,/trunk/src/developments/c_source/pvproshell/DateTimeSet/TimeSet.cs,M,2009-04-29,12:33:18,4,40951,c# csharp File,cs,296,238,.05,6,Low,4,2,5,2,4,5,2,Secondary network,0,0,20,13,6,83,1,1,1,0,0,1,1,1,.90909094,.60000002,19743,c_source/pvproshell/DateTimeSet/TimeSet.cs
andrea.rana,/trunk/src/developments/c_source/pvproshell/DateTimeSet/TimeZoneSet.cs,M,2009-04-29,12:33:18,4,102181,c# csharp File,cs,382,277,.06,12,Medium,2,3,2,4,3,4,2,Secondary network,0,0,20,13,6,84,1,1,1,0,0,1,1,1,.90909094,.5,19744,c_source/pvproshell/DateTimeSet/TimeZoneSet.cs
andrea.rana,/trunk/src/developments/c_source/pvproshell/PVShell2/PVShell2Dlg.cpp,M,2009-04-29,12:33:18,4,32864,C Code File,cpp,2247,1653,.11,30,High,2,10,19,10,10,27,0,Secondary network,0,1,36,2,362,0,1,.5,.91666669,0,18,1,.052631579,.37931034,1,1,19749,c_source/pvproshell/PVShell2/PVShell2Dlg.cpp
andrea.rana,/trunk/src/developments/c_source/pvproshell/PVShell2/PVShell2Dlg.h,M,2009-04-29,12:33:18,4,18948,C Header File,h,174,122,.14,1,Low,3,2,20,2,3,20,0,Secondary network,0,1,36,2,362,0,1,.66666669,.80000001,0,18,1,.1,.18181819,1,1,19750,c_source/pvproshell/PVShell2/PVShell2Dlg.h
luca.biolo,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/dataaccess/datalog/impl/ReportBeanList.java,M,2009-05-04,07:51:36,4,13775,Java File,java,594,480,.07,6,Low,1,18,1,398,17,397,0,Control,10,0,2,1,2480,0,.44444445,1,.47368422,339,0,.14824121,1,.15037593,1,1,19771,PlantVisorPRO/src/com/carel/supervisor/dataaccess/datalog/impl/ReportBeanList.java
fabio.boldrin,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/report/ReportFactory.java,M,2009-05-04,08:57:30,4,107971,Java File,java,13,10,0,1,Low,3,3,3,29,4,30,0,Peripheral,1,2,25,1,2480,0,.66666669,.33333334,.5,27,2,.068965517,.33333334,.09375,1,1,19781,PlantVisorPRO/src/com/carel/supervisor/report/ReportFactory.java
simon.zhang,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/dataaccess/datalog/impl/VarphyBeanList.java,M,2009-05-05,02:10:16,4,116853,Java File,java,972,808,.03,5,Low,1,13,1,379,12,378,0,Control,11,0,5,1,2480,0,.15384616,1,.21428572,321,0,.1530343,1,.15526316,1,1,19801,PlantVisorPRO/src/com/carel/supervisor/dataaccess/datalog/impl/VarphyBeanList.java
simon.zhang,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/presentation/bean/BookletConfBean.java,M,2009-05-05,02:10:16,4,101221,Java File,java,202,154,.09,11,Medium,4,3,4,51,5,53,0,Peripheral,0,0,2,1,2480,0,1,1,1,35,0,.3137255,1,.36363637,1,1,19802,PlantVisorPRO/src/com/carel/supervisor/presentation/bean/BookletConfBean.java
simon.zhang,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/presentation/bean/BookletListBean.java,M,2009-05-05,02:10:16,4,19145,Java File,java,433,368,.07,16,Medium,3,14,3,205,15,206,0,Peripheral,4,0,2,1,2480,0,.71428573,1,.7647059,158,0,.2292683,1,.24038461,1,1,19803,PlantVisorPRO/src/com/carel/supervisor/presentation/bean/BookletListBean.java
simon.zhang,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/presentation/bean/DevMdlBeanList.java,M,2009-05-05,02:10:16,4,50653,Java File,java,146,122,.02,2,Low,1,6,1,53,5,52,0,Peripheral,0,0,2,1,2480,0,1,1,1,35,0,.33962265,1,.35185185,1,1,19804,PlantVisorPRO/src/com/carel/supervisor/presentation/bean/DevMdlBeanList.java
simon.zhang,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/presentation/bo/BBooklet.java,M,2009-05-05,02:10:16,4,33936,Java File,java,396,367,.02,14,Medium,1,23,1,425,22,424,0,Control,14,0,2,1,2480,0,.39130434,1,.41666666,357,0,.16,1,.16197184,1,1,19805,PlantVisorPRO/src/com/carel/supervisor/presentation/bo/BBooklet.java
simon.zhang,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/presentation/report/ReportBeanHelper.java,M,2009-05-05,02:10:16,4,94317,Java File,java,380,167,1.06,16,Medium,1,12,1,207,11,206,0,Peripheral,5,0,2,1,2480,0,.58333331,1,.61538464,158,0,.23671497,1,.24038461,1,1,19806,PlantVisorPRO/src/com/carel/supervisor/presentation/report/ReportBeanHelper.java
simon.zhang,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/presentation/bean/search/SearchAlarmEvent.java,M,2009-05-06,01:00:12,4,69421,Java File,java,365,265,.15,30,High,3,16,3,383,17,384,0,Control,7,0,5,1,2480,0,.5625,1,.63157892,321,0,.1618799,1,.16839378,1,1,19807,PlantVisorPRO/src/com/carel/supervisor/presentation/bean/search/SearchAlarmEvent.java
luca.biolo,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/presentation/bo/BReport.java,M,2009-05-06,14:52:07,4,119084,Java File,java,272,232,.03,12,Medium,1,17,1,388,16,387,0,Control,9,0,5,1,2480,0,.47058824,1,.5,326,0,.15979381,1,.16195373,1,1,19811,PlantVisorPRO/src/com/carel/supervisor/presentation/bo/BReport.java
luca.biolo,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/presentation/bo/BSetAction.java,M,2009-05-06,14:52:19,4,60646,Java File,java,448,374,.13,51,Untestable,1,10,1,442,9,441,0,Control,3,0,5,1,2480,0,.69999999,1,.72727275,372,0,.15837105,1,.16027088,1,1,19812,PlantVisorPRO/src/com/carel/supervisor/presentation/bo/BSetAction.java
