author,Filename,action,Date,Time,ver,ID_File_und,Language,Extension,LOC,SLOC,CommmentRatio,MaxCyclomatic,CyclomaticType,FI,FO,VFI,VFO,FT,VFT,CyclicGroupSize,ArchType,crs_mdl_out,crs_mdl_in,partition,NetworkID,NetworkGroupSize,CyclicGroupID,modularity_out,modularity_in,modularity,crs_mdl_T_out,crs_mdl_T_in,modularity_T_out,modularity_T_in,modularity_T,hierarchy2,hierarchy1,ID_rev,filename
nicola.compagno,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/dispatcher/action/SAction.java,M,2011-04-06,13:26:58,8,104094,Java File,java,189,149,.07,10,Low,2,12,2,155,12,155,0,Peripheral,2,0,4,1,2625,0,.83333331,1,.85714287,92,0,.40645161,1,.41401273,1,1,89772,PlantVisorPRO/src/com/carel/supervisor/dispatcher/action/SAction.java
nicola.compagno,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/dispatcher/main/DispatcherDQ.java,M,2011-04-06,13:26:58,8,55408,Java File,java,1027,858,.05,52,Untestable,1,56,1,408,55,407,0,Control,27,0,4,1,2625,0,.51785713,1,.52631581,338,0,.17156863,1,.17359413,1,1,89773,PlantVisorPRO/src/com/carel/supervisor/dispatcher/main/DispatcherDQ.java
nicola.compagno,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/dispatcher/util/SmsUtil.java,A,2011-04-06,13:26:58,8,115178,Java File,java,106,47,.77,3,Low,2,1,2,1,1,1,0,Peripheral,0,0,4,1,2625,0,1,1,1,0,0,1,1,1,1,1,89775,PlantVisorPRO/src/com/carel/supervisor/dispatcher/util/SmsUtil.java
nicola.compagno,/trunk/src/developments/applications/guardian/src/com/carel/supervisor/guardian/feedback/channels/Sms.java,M,2011-04-06,13:37:56,8,127693,Java File,java,105,87,.03,11,Medium,1,7,1,14,6,13,0,Peripheral,0,0,2,1,2625,0,1,1,1,0,0,1,1,1,1,1,89776,applications/guardian/src/com/carel/supervisor/guardian/feedback/channels/Sms.java
nicola.compagno,/trunk/src/developments/applications/guardian/src/com/carel/supervisor/guardian/helper/SmsUtil.java,A,2011-04-06,13:37:56,8,107511,Java File,java,104,47,.74,3,Low,2,1,2,1,1,1,0,Peripheral,0,0,2,1,2625,0,1,1,1,0,0,1,1,1,1,1,89777,applications/guardian/src/com/carel/supervisor/guardian/helper/SmsUtil.java
razvan.filimon,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/presentation/bo/BUserProfile.java,M,2011-04-06,14:09:50,8,82192,Java File,java,249,194,.05,9,Low,1,12,1,398,11,397,0,Control,4,0,5,1,2625,0,.66666669,1,.69230771,328,0,.1758794,1,.17794487,1,1,89778,PlantVisorPRO/src/com/carel/supervisor/presentation/bo/BUserProfile.java
razvan.filimon,/trunk/src/developments/PlantVisorPRO/src/supervisor/ServUpload.java,M,2011-04-07,13:30:59,8,35828,Java File,java,837,646,.1,14,Medium,1,31,1,584,30,583,0,Control,15,0,1,1,2625,0,.51612902,1,.53125,478,0,.18150684,1,.18290599,1,1,89784,PlantVisorPRO/src/supervisor/ServUpload.java
razvan.filimon,/trunk/src/developments/PlantVisorPRO/src/com/carel/supervisor/presentation/bo/BUserProfile.java,M,2011-04-07,14:15:06,8,82192,Java File,java,249,194,.05,9,Low,1,12,1,398,11,397,0,Control,4,0,5,1,2625,0,.66666669,1,.69230771,328,0,.1758794,1,.17794487,1,1,89786,PlantVisorPRO/src/com/carel/supervisor/presentation/bo/BUserProfile.java
paride.ciatto,/trunk/src/developments/c_source/pvproshell/DateTimeSet/Properties/AssemblyInfo.cs,M,2011-04-08,15:19:30,8,,c# csharp File,cs,35,15,1.07,0,Low,1,1,1,1,0,0,0,Unconnected,,,,370,1,0,,,,,,,,,1,1,89801,c_source/pvproshell/DateTimeSet/Properties/AssemblyInfo.cs
paride.ciatto,/trunk/src/developments/c_source/pvproshell/PVShell2/PVShell2Dlg.cpp,M,2011-04-08,15:19:30,8,72210,C Code File,cpp,2257,1659,.11,30,High,2,10,2,10,10,10,0,Secondary network,0,0,33,2,374,0,1,1,1,0,0,1,1,1,1,1,89808,c_source/pvproshell/PVShell2/PVShell2Dlg.cpp
mihai.bucurescu,/trunk/src/developments/c_source/pvproshell/PVShell/PVShell.cpp,M,2011-04-12,19:42:53,8,36864,C Code File,cpp,360,218,.19,7,Low,1,2,1,2,1,1,0,Secondary network,0,0,33,2,374,0,1,1,1,0,0,1,1,1,1,1,89823,c_source/pvproshell/PVShell/PVShell.cpp
mihai.bucurescu,/trunk/src/developments/c_source/pvproshell/PVShell/PVShell.h,M,2011-04-12,19:42:53,8,2876,C Header File,h,43,9,1.89,0,Low,3,1,4,1,2,3,0,Secondary network,0,0,33,2,374,0,1,1,1,0,0,1,1,1,1,1,89824,c_source/pvproshell/PVShell/PVShell.h
mihai.bucurescu,/trunk/src/developments/c_source/pvproshell/PVShell/resource.h,M,2011-04-12,19:42:53,8,,C Header File,h,36,0,0,0,Low,1,1,1,1,0,0,0,Unconnected,,,,374,1,0,,,,,,,,,1,1,89833,c_source/pvproshell/PVShell/resource.h
mihai.bucurescu,/trunk/src/developments/c_source/pvproshell/PVShell2/PVShell2Dlg.cpp,M,2011-04-12,19:42:53,8,72210,C Code File,cpp,2257,1659,.11,30,High,2,10,2,10,10,10,0,Secondary network,0,0,33,2,374,0,1,1,1,0,0,1,1,1,1,1,89838,c_source/pvproshell/PVShell2/PVShell2Dlg.cpp
mihai.bucurescu,/trunk/src/developments/c_source/pvproshell/PVShell2/PVShell2Dlg.h,M,2011-04-12,19:42:53,8,29171,C Header File,h,174,122,.14,1,Low,3,2,3,2,3,3,0,Secondary network,0,0,33,2,374,0,1,1,1,0,0,1,1,1,1,1,89839,c_source/pvproshell/PVShell2/PVShell2Dlg.h
